Reporter Identifier	VALUE
ILMN_1736101	6.354033741
ILMN_1764436	6.273135129
ILMN_1654641	6.488661141
ILMN_1670807	7.848099995
ILMN_1667314	6.352484791
ILMN_1721560	6.461942118
ILMN_1759698	6.433098335
ILMN_1792415	7.866038629
ILMN_1672405	7.975511141
ILMN_1785549	6.379300749
ILMN_1696031	6.677809311
ILMN_2356311	7.849890728
ILMN_1836277	6.304356861
ILMN_1863081	6.295096063
ILMN_1692973	7.074669696
ILMN_2088234	6.373377983
ILMN_1672446	14.13900756
ILMN_1689965	6.570951711
ILMN_1685825	6.33018856
ILMN_2151277	6.615310332
ILMN_1711359	6.496726183
ILMN_1894881	6.483064926
ILMN_1775304	9.806737539
ILMN_1789398	6.370398068
ILMN_1756081	6.319076477
ILMN_1898748	6.219539867
ILMN_1662658	10.61111112
ILMN_1788538	6.476847457
ILMN_2409290	6.557101958
ILMN_1916847	6.52142745
ILMN_1891506	6.527645255
ILMN_2268068	8.262989116
ILMN_1903670	6.221969175
ILMN_2156115	6.399270265
ILMN_1717466	6.348817013
ILMN_2359742	11.96733129
ILMN_1688753	9.641952374
ILMN_1753013	6.477396199
ILMN_1735499	9.750581786
ILMN_2400759	7.788338894
ILMN_2305112	6.523637757
ILMN_1824297	6.740788876
ILMN_1849121	6.125599254
ILMN_1782633	11.78394246
ILMN_1880537	6.454135854
ILMN_1700461	9.504492597
ILMN_1768165	6.715008687
ILMN_1850533	6.458397208
ILMN_1678781	8.860521769
ILMN_1792570	6.384475635
ILMN_2076567	6.230775281
ILMN_1670166	6.36900188
ILMN_1692058	6.248211802
ILMN_1802762	6.709023482
ILMN_1856907	6.485683244
ILMN_2161577	6.371690553
ILMN_2367440	6.640255931
ILMN_2090782	7.130494804
ILMN_1830985	6.510375003
ILMN_1718044	8.765814441
ILMN_1860225	6.134606486
ILMN_1728550	6.562083479
ILMN_2341611	7.383744869
ILMN_1759411	7.813885761
ILMN_2399497	7.48119817
ILMN_1849885	6.488526402
ILMN_1689043	6.197035665
ILMN_1710985	6.664590108
ILMN_1824795	6.092559823
ILMN_1686948	6.589699887
ILMN_1717324	7.524068127
ILMN_2281404	6.412621149
ILMN_1811877	8.416126909
ILMN_1739343	6.320791134
ILMN_1792663	6.660964611
ILMN_1735779	6.558283579
ILMN_2380453	6.649642856
ILMN_2401457	6.710633485
ILMN_1729680	6.254502683
ILMN_1678323	6.889427343
ILMN_1765103	6.39182677
ILMN_1710479	7.051473653
ILMN_1891930	6.241101676
ILMN_1849285	6.533769796
ILMN_2189869	7.356078578
ILMN_2358784	9.417624429
ILMN_1665585	6.218889344
ILMN_1760855	9.628100606
ILMN_1729130	8.460299854
ILMN_1900190	6.226574146
ILMN_1713686	6.734960188
ILMN_1843642	6.857002455
ILMN_1794816	6.289639006
ILMN_1669119	6.485801615
ILMN_1715702	8.118791193
ILMN_1886439	6.378375004
ILMN_1699251	6.630585974
ILMN_1749327	7.275832892
ILMN_1671819	6.505180171
ILMN_1891129	6.126290193
ILMN_1796430	8.683706604
ILMN_1719533	6.841692677
ILMN_1671646	6.270461859
ILMN_1809662	7.082350803
ILMN_2054213	8.56471654
ILMN_1834398	6.226774764
ILMN_1891845	6.391909242
ILMN_1755694	6.430931548
ILMN_2118201	6.872705309
